title,prompt,category,type,tags,is_public,is_pro
Cyberpunk Skyline,Create a glowing futuristic skyline at night, full of neon lights and rain-soaked reflections.,Art,image,"{cyberpunk,city,neon}",true,false
Dream Forest,Generate an enchanted forest filled with soft mist, glowing mushrooms, and moonlight filtering through tall trees.,Art,image,"{fantasy,forest,dreamlike}",true,false
AI Love Letter,Compose a love letter written by an AI trying to understand human emotion.,Writing,text,"{creative,ai,romance}",true,false
Product Launch Email,Write an email announcing a new SaaS feature in an engaging and friendly tone.,Writing,text,"{marketing,email,product}",true,false
Sci-Fi Journal Entry,Create a diary entry from the first human on Mars describing the red horizon.,Writing,text,"{sci-fi,journal,space}",true,false
Short Horror Scene,Write a short horror scene set in a flickering subway station at midnight.,Writing,text,"{horror,fiction,scene}",true,false
Poetic Brand Slogan,Generate a short poetic slogan for a sustainable coffee brand.,Writing,text,"{branding,poetic,eco}",true,false
Futurist Manifesto,Draft a short manifesto envisioning a future where creativity is AI-powered.,Writing,text,"{manifesto,ai,future}",true,false
Dream Interpretation,Explain a dream where the dreamer keeps finding locked doors in an endless hallway.,Writing,text,"{psychology,dreams,symbolism}",true,false
Brand Story,Write a 200-word brand story for a handmade jewelry startup.,Writing,text,"{branding,storytelling,creative}",true,false
Comedy Tweet,Write a viral comedic tweet about AI taking over your job but doing it better.,Writing,text,"{humor,social,tweet}",true,false
Startup Elevator Pitch,Write a 30-second elevator pitch for a new AI productivity platform.,Business,text,"{startup,pitch,ai}",true,false
Brand Mission Statement,Draft a concise mission statement for a sustainable fashion brand.,Business,text,"{branding,mission,eco}",true,false
Social Media Strategy,Generate a weekly content strategy for a small business on Instagram.,Business,text,"{marketing,social,strategy}",true,false
Customer Testimonial,Write a believable testimonial for a happy SaaS customer.,Business,text,"{marketing,review,copywriting}",true,false
Lead Magnet Idea,Suggest 5 creative lead magnet ideas for an online course creator.,Business,text,"{marketing,leadgen,ideas}",true,false
Product Tagline,Create a catchy tagline for a new AI design assistant.,Business,text,"{branding,tagline,creative}",true,false
Cold Email Template,Write a friendly cold email offering web design services to a local business.,Business,text,"{sales,email,outreach}",true,false
Pricing Table Copy,Write persuasive copy for a SaaS pricing table's plan descriptions.,Business,text,"{copywriting,pricing,saas}",true,false
Customer Retention Email,Generate a re-engagement email for users who haven't logged in for 30 days.,Business,text,"{email,retention,engagement}",true,false
Affiliate Pitch,Write a short persuasive paragraph inviting influencers to join your affiliate program.,Business,text,"{affiliate,influencer,marketing}",true,false
Landing Page Headline,Create 5 high-converting headlines for an AI marketing tool homepage.,Business,text,"{copywriting,headline,saas}",true,false
Investor Update,Draft a friendly investor update summarizing new features and growth metrics.,Business,text,"{investor,update,business}",true,false
Upsell Script,Write a conversational upsell script for a customer support rep.,Business,text,"{sales,script,upsell}",true,false
Business Slogan,Generate 10 slogan options for an eco-cleaning company.,Business,text,"{branding,slogan,eco}",true,false
About Us Page Copy,Write a warm, authentic About page for a boutique creative agency.,Business,text,"{website,copywriting,about}",true,false
Customer Onboarding Email,Write a welcome email guiding new users through setup steps.,Business,text,"{onboarding,email,saas}",true,false
Event Promo Post,Write a short LinkedIn post promoting an upcoming product demo webinar.,Business,text,"{social,event,post}",true,false
Business Plan Summary,Summarize a business plan for a new subscription coffee brand in under 150 words.,Business,text,"{summary,plan,business}",true,false
Client Testimonial Request,Write a polite email asking a satisfied customer to leave a testimonial.,Business,text,"{email,testimonial,customer}",true,false
Startup Name Generator,Create 10 catchy, brandable names for a fintech startup.,Business,text,"{naming,startup,fintech}",true,false
Next.js Auth Guard,Write a middleware that redirects unauthenticated users to /login in a Next.js app.,Coding,text,"{nextjs,auth,middleware}",true,false
Supabase Trigger Example,Create a SQL trigger that deducts credits when a new record is inserted.,Coding,text,"{supabase,sql,automation}",true,false
Stripe Webhook Handler,Write a secure API route that verifies and handles Stripe webhook events.,Coding,text,"{stripe,api,node}",true,false
Tailwind Theme Config,Show how to customize Tailwind colors and fonts in tailwind.config.js.,Coding,text,"{tailwind,design,config}",true,false
React Context Example,Implement a global theme context with dark/light mode toggle.,Coding,text,"{react,context,theme}",true,false
Supabase Auth Flow,Demonstrate sign-up and login flow using Supabase Auth in Next.js.,Coding,text,"{supabase,auth,nextjs}",true,false
Prisma Relation Query,Write a Prisma query fetching all users with their related posts.,Coding,text,"{prisma,query,relation}",true,false
Credit System Function,Implement a server function that deducts credits per API call.,Coding,text,"{backend,credits,function}",true,false
File Upload API,Create a simple file upload endpoint using Next.js API routes.,Coding,text,"{api,upload,nextjs}",true,false
Image Optimization,Show an example using Next/Image for responsive image optimization.,Coding,text,"{nextjs,image,performance}",true,false
Database Migration,Write a SQL migration adding a new column to the prompts table.,Coding,text,"{sql,migration,database}",true,false
Environment Variables,Explain how to securely access environment variables in Next.js 15.,Coding,text,"{nextjs,env,security}",true,false
Edge Function Example,Show how to deploy a Supabase Edge Function for webhook handling.,Coding,text,"{supabase,edge,serverless}",true,false
Unit Test Example,Write a Jest test for a function that calculates total cost with tax.,Coding,text,"{jest,test,node}",true,false
API Rate Limiter,Implement a rate limiter using middleware in a Next.js API route.,Coding,text,"{api,security,rate-limit}",true,false
Stripe Subscription Flow,Write code to create a new subscription via Stripe Checkout in Next.js.,Coding,text,"{stripe,checkout,nextjs}",true,false
Responsive Navbar,Build a responsive Navbar with hamburger menu using Tailwind.,Coding,text,"{tailwind,ui,navbar}",true,false
SEO Metadata Component,Create a reusable SEO component to set meta tags dynamically.,Coding,text,"{seo,react,component}",true,false
Supabase Storage Upload,Demonstrate how to upload user avatars to Supabase storage.,Coding,text,"{supabase,storage,upload}",true,false
Pagination Query,Write an SQL query or Supabase filter for pagination (limit & offset).,Coding,text,"{pagination,sql,query}",true,false



